 time_between_2_SV	 jitter
166523	166273.000000
135	115.000000
47	203.000000
46	204.000000
43	207.000000
88	162.000000
146	104.000000
45	205.000000
43	207.000000
43	207.000000
73	177.000000
32	218.000000
31	219.000000
32	218.000000
31	219.000000
32	218.000000
31	219.000000
31	219.000000
32	218.000000
31	219.000000
31	219.000000
33	217.000000
114	136.000000
58	192.000000
43	207.000000
43	207.000000
45	205.000000
66	184.000000
49	201.000000
126	124.000000
50	200.000000
44	206.000000
41	209.000000
40	210.000000
40	210.000000
66	184.000000
48	202.000000
41	209.000000
41	209.000000
39	211.000000
40	210.000000
42	208.000000
41	209.000000
41	209.000000
40	210.000000
76	174.000000
54	196.000000
44	206.000000
43	207.000000
42	208.000000
41	209.000000
116	134.000000
57	193.000000
45	205.000000
96	154.000000
67	183.000000
45	205.000000
162	88.000000
52	198.000000
44	206.000000
44	206.000000
42	208.000000
41	209.000000
165	85.000000
60	190.000000
42	208.000000
43	207.000000
42	208.000000
41	209.000000
43	207.000000
42	208.000000
43	207.000000
42	208.000000
77	173.000000
31	219.000000
31	219.000000
31	219.000000
32	218.000000
31	219.000000
137	113.000000
50	200.000000
47	203.000000
49	201.000000
47	203.000000
47	203.000000
55	195.000000
52	198.000000
49	201.000000
125	125.000000
62	188.000000
43	207.000000
79	171.000000
69	181.000000
31	219.000000
33	217.000000
31	219.000000
32	218.000000
32	218.000000
32	218.000000
32	218.000000
32	218.000000
31	219.000000
31	219.000000
31	219.000000
31	219.000000
31	219.000000
30	220.000000
32	218.000000
31	219.000000
31	219.000000
31	219.000000
31	219.000000
33	217.000000
115	135.000000
62	188.000000
49	201.000000
46	204.000000
47	203.000000
80	170.000000
47	203.000000
128	122.000000
54	196.000000
44	206.000000
46	204.000000
42	208.000000
70	180.000000
46	204.000000
66	184.000000
43	207.000000
41	209.000000
41	209.000000
42	208.000000
41	209.000000
75	175.000000
31	219.000000
31	219.000000
31	219.000000
32	218.000000
32	218.000000
32	218.000000
50	200.000000
31	219.000000
31	219.000000
31	219.000000
128	122.000000
53	197.000000
45	205.000000
42	208.000000
43	207.000000
45	205.000000
127	123.000000
48	202.000000
44	206.000000
159632	159382.000000
62	188.000000
44	206.000000
43	207.000000
43	207.000000
42	208.000000
41	209.000000
42	208.000000
41	209.000000
41	209.000000
43	207.000000
43	207.000000
64	186.000000
31	219.000000
29	221.000000
29	221.000000
135	115.000000
49	201.000000
44	206.000000
45	205.000000
126	124.000000
50	200.000000
46	204.000000
48	202.000000
46	204.000000
42	208.000000
41	209.000000
40	210.000000
40	210.000000
90	160.000000
47	203.000000
70	180.000000
30	220.000000
29	221.000000
28	222.000000
29	221.000000
28	222.000000
29	221.000000
29	221.000000
29	221.000000
29	221.000000
29	221.000000
29	221.000000
28	222.000000
28	222.000000
29	221.000000
28	222.000000
30	220.000000
29	221.000000
28	222.000000
29	221.000000
29	221.000000
135	115.000000
50	200.000000
68	182.000000
52	198.000000
112	138.000000
50	200.000000
45	205.000000
45	205.000000
46	204.000000
44	206.000000
43	207.000000
42	208.000000
41	209.000000
78	172.000000
44	206.000000
42	208.000000
57	193.000000
43	207.000000
41	209.000000
42	208.000000
41	209.000000
73	177.000000
29	221.000000
31	219.000000
29	221.000000
29	221.000000
29	221.000000
29	221.000000
29	221.000000
29	221.000000
28	222.000000
29	221.000000
29	221.000000
134	116.000000
49	201.000000
57	193.000000
57	193.000000
54	196.000000
47	203.000000
43	207.000000
42	208.000000
42	208.000000
44	206.000000
42	208.000000
42	208.000000
43	207.000000
122	128.000000
56	194.000000
46	204.000000
44	206.000000
45	205.000000
42	208.000000
42	208.000000
42	208.000000
42	208.000000
41	209.000000
42	208.000000
40	210.000000
40	210.000000
40	210.000000
40	210.000000
71	179.000000
29	221.000000
30	220.000000
108	142.000000
60	190.000000
74	176.000000
46	204.000000
43	207.000000
113	137.000000
45	205.000000
43	207.000000
44	206.000000
53	197.000000
69	181.000000
30	220.000000
29	221.000000
96	154.000000
49	201.000000
43	207.000000
42	208.000000
44	206.000000
44	206.000000
42	208.000000
44	206.000000
43	207.000000
44	206.000000
44	206.000000
47	203.000000
43	207.000000
41	209.000000
41	209.000000
40	210.000000
154398	154148.000000
54	196.000000
43	207.000000
42	208.000000
42	208.000000
46	204.000000
100	150.000000
49	201.000000
72	178.000000
48	202.000000
42	208.000000
42	208.000000
91	159.000000
102	148.000000
89	161.000000
43	207.000000
41	209.000000
41	209.000000
42	208.000000
41	209.000000
64	186.000000
43	207.000000
43	207.000000
348	98.000000
64	186.000000
54	196.000000
47	203.000000
45	205.000000
42	208.000000
209	41.000000
108	142.000000
50	200.000000
45	205.000000
42	208.000000
44	206.000000
161	89.000000
44	206.000000
42	208.000000
49	201.000000
182	68.000000
48	202.000000
44	206.000000
45	205.000000
44	206.000000
43	207.000000
44	206.000000
45	205.000000
45	205.000000
45	205.000000
46	204.000000
41	209.000000
40	210.000000
41	209.000000
75	175.000000
43	207.000000
41	209.000000
40	210.000000
44	206.000000
40	210.000000
40	210.000000
113	137.000000
43	207.000000
43	207.000000
41	209.000000
92	158.000000
70	180.000000
29	221.000000
29	221.000000
108	142.000000
55	195.000000
43	207.000000
41	209.000000
42	208.000000
41	209.000000
42	208.000000
45	205.000000
62	188.000000
29	221.000000
29	221.000000
28	222.000000
28	222.000000
30	220.000000
30	220.000000
29	221.000000
29	221.000000
52	198.000000
156	94.000000
47	203.000000
49	201.000000
50	200.000000
47	203.000000
46	204.000000
47	203.000000
47	203.000000
46	204.000000
127	123.000000
44	206.000000
40	210.000000
41	209.000000
97	153.000000
56	194.000000
43	207.000000
40	210.000000
59	191.000000
41	209.000000
40	210.000000
40	210.000000
41	209.000000
39	211.000000
39	211.000000
46	204.000000
65	185.000000
29	221.000000
31	219.000000
28	222.000000
29	221.000000
110	140.000000
63	187.000000
45	205.000000
48	202.000000
79	171.000000
45	205.000000
120	130.000000
52	198.000000
66	184.000000
44	206.000000
46	204.000000
43	207.000000
79	171.000000
43	207.000000
42	208.000000
42	208.000000
39	211.000000
41	209.000000
40	210.000000
40	210.000000
41	209.000000
41	209.000000
71	179.000000
32	218.000000
30	220.000000
29	221.000000
36	214.000000
29	221.000000
29	221.000000
29	221.000000
32	218.000000
29	221.000000
154322	154072.000000
