 time_between_2_SV	 jitter
7485	7235.000000
144	106.000000
38	212.000000
35	215.000000
33	217.000000
33	217.000000
190	60.000000
40	210.000000
34	216.000000
34	216.000000
34	216.000000
55	195.000000
54	196.000000
32	218.000000
33	217.000000
32	218.000000
32	218.000000
53	197.000000
33	217.000000
35	215.000000
35	215.000000
33	217.000000
34	216.000000
68	182.000000
148	102.000000
204	46.000000
94	156.000000
38	212.000000
34	216.000000
35	215.000000
34	216.000000
32	218.000000
33	217.000000
33	217.000000
49	201.000000
37	213.000000
33	217.000000
34	216.000000
737	487.000000
61	189.000000
33	217.000000
924	674.000000
75	175.000000
95	155.000000
44	206.000000
46	204.000000
495	245.000000
95	155.000000
635	385.000000
117	133.000000
65	185.000000
90	160.000000
513	263.000000
79	171.000000
376	126.000000
57	193.000000
715	465.000000
101	149.000000
68	182.000000
92	158.000000
667	417.000000
82	168.000000
28	222.000000
478	228.000000
83	167.000000
236	14.000000
437	187.000000
87	163.000000
692	442.000000
121	129.000000
63	187.000000
35	215.000000
772	522.000000
84	166.000000
28	222.000000
547	297.000000
84	166.000000
74	176.000000
485	235.000000
38	212.000000
906	656.000000
129	121.000000
40	210.000000
37	213.000000
38	212.000000
303	53.000000
859	609.000000
146	104.000000
45	205.000000
38	212.000000
84	166.000000
683	433.000000
83	167.000000
74	176.000000
805	555.000000
118	132.000000
27	223.000000
30	220.000000
234	16.000000
805	555.000000
123	127.000000
38	212.000000
34	216.000000
466	216.000000
46	204.000000
623	373.000000
93	157.000000
36	214.000000
303	53.000000
137	113.000000
654	404.000000
132	118.000000
37	213.000000
499	249.000000
111	139.000000
38	212.000000
372	122.000000
466	216.000000
93	157.000000
623	373.000000
118	132.000000
64	186.000000
47	203.000000
799	549.000000
117	133.000000
28	222.000000
30	220.000000
516	266.000000
81	169.000000
235	15.000000
721	471.000000
78	172.000000
27	223.000000
461	211.000000
105	145.000000
62	188.000000
911	661.000000
90	160.000000
38	212.000000
37	213.000000
787	537.000000
99	151.000000
39	211.000000
38	212.000000
1173	923.000000
107	143.000000
40	210.000000
38	212.000000
36	214.000000
34	216.000000
1075	825.000000
141	109.000000
41	209.000000
37	213.000000
35	215.000000
2211	1961.000000
119	131.000000
31	219.000000
26	224.000000
24	226.000000
25	225.000000
24	226.000000
223	27.000000
34	216.000000
34	216.000000
34	216.000000
267	17.000000
938	688.000000
254	4.000000
40	210.000000
39	211.000000
36	214.000000
98	152.000000
756	506.000000
52	198.000000
34	216.000000
345	95.000000
68	182.000000
350	100.000000
735	485.000000
72	178.000000
36	214.000000
35	215.000000
619	369.000000
70	180.000000
31	219.000000
843	593.000000
122	128.000000
36	214.000000
34	216.000000
721	471.000000
167	83.000000
48	202.000000
67	183.000000
531	281.000000
146	104.000000
41	209.000000
480	230.000000
81	169.000000
941	691.000000
81	169.000000
113	137.000000
52	198.000000
35	215.000000
700	450.000000
92	158.000000
67	183.000000
869	619.000000
116	134.000000
42	208.000000
58	192.000000
38	212.000000
379	129.000000
941	691.000000
124	126.000000
38	212.000000
35	215.000000
34	216.000000
471	221.000000
90	160.000000
427	177.000000
96	154.000000
126	124.000000
438	188.000000
93	157.000000
856	606.000000
81	169.000000
26	224.000000
25	225.000000
965	715.000000
121	129.000000
45	205.000000
38	212.000000
37	213.000000
757	507.000000
266	16.000000
263	13.000000
58	192.000000
60	190.000000
142	108.000000
677	427.000000
91	159.000000
36	214.000000
978	728.000000
