 time_between_2_SV	 jitter
8342	8092.000000
126	124.000000
48	202.000000
43	207.000000
47	203.000000
114	136.000000
52	198.000000
70	180.000000
69	181.000000
44	206.000000
40	210.000000
39	211.000000
39	211.000000
44	206.000000
106	144.000000
48	202.000000
58	192.000000
42	208.000000
41	209.000000
40	210.000000
39	211.000000
39	211.000000
38	212.000000
38	212.000000
38	212.000000
64	186.000000
39	211.000000
38	212.000000
37	213.000000
37	213.000000
36	214.000000
68	182.000000
28	222.000000
27	223.000000
26	224.000000
26	224.000000
26	224.000000
27	223.000000
60	190.000000
37	213.000000
38	212.000000
57	193.000000
577	327.000000
79	171.000000
34	216.000000
990	740.000000
94	156.000000
42	208.000000
60	190.000000
50	200.000000
801	551.000000
96	154.000000
79	171.000000
44	206.000000
645	395.000000
80	170.000000
30	220.000000
890	640.000000
80	170.000000
31	219.000000
28	222.000000
946	696.000000
97	153.000000
41	209.000000
77	173.000000
44	206.000000
450	200.000000
75	175.000000
661	411.000000
76	174.000000
30	220.000000
1142	892.000000
121	129.000000
43	207.000000
48	202.000000
70	180.000000
30	220.000000
567	317.000000
197	53.000000
42	208.000000
376	126.000000
828	578.000000
93	157.000000
41	209.000000
79	171.000000
42	208.000000
670	420.000000
93	157.000000
39	211.000000
1030	780.000000
103	147.000000
52	198.000000
77	173.000000
44	206.000000
481	231.000000
78	172.000000
63	187.000000
1027	777.000000
98	152.000000
54	196.000000
32	218.000000
30	220.000000
840	590.000000
118	132.000000
42	208.000000
40	210.000000
621	371.000000
78	172.000000
30	220.000000
1178	928.000000
116	134.000000
41	209.000000
40	210.000000
48	202.000000
63	187.000000
459	209.000000
101	149.000000
784	534.000000
93	157.000000
43	207.000000
41	209.000000
913	663.000000
77	173.000000
29	221.000000
30	220.000000
927	677.000000
102	148.000000
34	216.000000
97	153.000000
67	183.000000
417	167.000000
83	167.000000
720	470.000000
93	157.000000
43	207.000000
124	126.000000
656	406.000000
76	174.000000
30	220.000000
892	642.000000
78	172.000000
29	221.000000
29	221.000000
861	611.000000
77	173.000000
30	220.000000
29	221.000000
879	629.000000
176	74.000000
