 time_between_2_SV	 jitter
5	245.000000
1288	1038.000000
7	243.000000
5	245.000000
5	245.000000
4	246.000000
5	245.000000
4	246.000000
1177	927.000000
5	245.000000
5	245.000000
1623	1373.000000
6	244.000000
5	245.000000
5	245.000000
6	244.000000
5	245.000000
5	245.000000
5	245.000000
1375	1125.000000
7	243.000000
6	244.000000
5	245.000000
45	205.000000
7	243.000000
1425	1175.000000
7	243.000000
5	245.000000
6	244.000000
5	245.000000
5	245.000000
1634	1384.000000
6	244.000000
5	245.000000
5	245.000000
5	245.000000
5	245.000000
1372	1122.000000
7	243.000000
6	244.000000
5	245.000000
1444	1194.000000
5	245.000000
5	245.000000
4	246.000000
5	245.000000
4	246.000000
5	245.000000
5	245.000000
1429	1179.000000
6	244.000000
6	244.000000
5	245.000000
1358	1108.000000
7	243.000000
5	245.000000
5	245.000000
5	245.000000
29	221.000000
5	245.000000
1565	1315.000000
7	243.000000
7	243.000000
5	245.000000
5	245.000000
7	243.000000
1495	1245.000000
7	243.000000
5	245.000000
5	245.000000
6	244.000000
4	246.000000
5	245.000000
1496	1246.000000
7	243.000000
5	245.000000
4	246.000000
5	245.000000
5	245.000000
1571	1321.000000
7	243.000000
6	244.000000
4	246.000000
5	245.000000
5	245.000000
1510	1260.000000
7	243.000000
4	246.000000
5	245.000000
1588	1338.000000
7	243.000000
5	245.000000
4	246.000000
6	244.000000
39	211.000000
8	242.000000
5	245.000000
5	245.000000
1802	1552.000000
9	241.000000
5	245.000000
4	246.000000
4	246.000000
4	246.000000
4	246.000000
1533	1283.000000
7	243.000000
5	245.000000
5	245.000000
5	245.000000
6	244.000000
1394	1144.000000
7	243.000000
5	245.000000
5	245.000000
5	245.000000
5	245.000000
1374	1124.000000
7	243.000000
5	245.000000
5	245.000000
5	245.000000
6	244.000000
1630	1380.000000
10	240.000000
5	245.000000
5	245.000000
4	246.000000
4	246.000000
4	246.000000
1261	1011.000000
5	245.000000
5	245.000000
6	244.000000
5	245.000000
1554	1304.000000
7	243.000000
4	246.000000
5	245.000000
5	245.000000
1256	1006.000000
6	244.000000
5	245.000000
4	246.000000
5	245.000000
1661	1411.000000
7	243.000000
5	245.000000
5	245.000000
5	245.000000
5	245.000000
6	244.000000
5	245.000000
1137	887.000000
6	244.000000
4	246.000000
4	246.000000
1233	983.000000
6	244.000000
6	244.000000
