signal de sortie filtré	signal d'origine
0.000000	-12.000000
-11.388985	-10.000000
-9.388985	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
2.611015	5.000000
5.611015	7.000000
7.611015	9.000000
9.611015	10.000000
10.611015	12.000000
12.611015	13.000000
13.611015	14.000000
14.000000	15.000000
15.000000	15.000000
15.000000	14.000000
14.000000	14.000000
13.388985	13.000000
12.388985	12.000000
11.388985	10.000000
9.388985	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-2.611015	-5.000000
-5.611015	-7.000000
-7.611015	-9.000000
-9.611015	-10.000000
-10.611015	-12.000000
-12.611015	-13.000000
-13.611015	-14.000000
-14.000000	-15.000000
-15.000000	-15.000000
-15.000000	-14.000000
-14.000000	-14.000000
-13.388985	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-9.388985	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
2.611015	5.000000
5.611015	7.000000
7.611015	9.000000
9.611015	10.000000
10.611015	12.000000
12.611015	13.000000
13.611015	14.000000
14.000000	15.000000
15.000000	15.000000
15.000000	14.000000
14.000000	14.000000
13.388985	13.000000
12.388985	12.000000
11.388985	10.000000
9.388985	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-2.611015	-5.000000
-5.611015	-7.000000
-7.611015	-9.000000
-9.611015	-10.000000
-10.611015	-12.000000
-12.611015	-13.000000
-13.611015	-14.000000
-14.000000	-15.000000
-15.000000	-15.000000
-15.000000	-14.000000
-14.000000	-14.000000
-13.388985	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-9.388985	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
2.611015	5.000000
5.611015	7.000000
7.611015	9.000000
9.611015	10.000000
10.611015	12.000000
12.611015	13.000000
13.611015	14.000000
14.000000	15.000000
15.000000	15.000000
15.000000	14.000000
14.000000	14.000000
13.388985	13.000000
12.388985	12.000000
11.388985	10.000000
9.388985	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-2.611015	-5.000000
-5.611015	-7.000000
-7.611015	-9.000000
-9.611015	-10.000000
-10.611015	-12.000000
-12.611015	-13.000000
-13.611015	-14.000000
-14.000000	-15.000000
-15.000000	-15.000000
-15.000000	-14.000000
-14.000000	-14.000000
-13.388985	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-9.388985	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
2.611015	5.000000
5.611015	7.000000
7.611015	9.000000
9.611015	10.000000
10.611015	12.000000
12.611015	13.000000
13.611015	14.000000
14.000000	15.000000
15.000000	15.000000
15.000000	14.000000
14.000000	14.000000
13.388985	13.000000
12.388985	12.000000
11.388985	10.000000
9.388985	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-2.611015	-5.000000
-5.611015	-7.000000
-7.611015	-9.000000
-9.611015	-10.000000
-10.611015	-12.000000
-12.611015	-13.000000
-13.611015	-14.000000
-14.000000	-15.000000
-15.000000	-15.000000
-15.000000	-14.000000
-14.000000	-14.000000
-13.388985	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-9.388985	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
2.611015	5.000000
5.611015	7.000000
7.611015	9.000000
9.611015	10.000000
10.611015	12.000000
12.611015	13.000000
13.611015	14.000000
14.000000	15.000000
15.000000	15.000000
15.000000	14.000000
14.000000	14.000000
13.388985	13.000000
12.388985	12.000000
11.388985	10.000000
9.388985	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-2.611015	-5.000000
-5.611015	-7.000000
-7.611015	-9.000000
-9.611015	-10.000000
-10.611015	-12.000000
-12.611015	-13.000000
-13.611015	-14.000000
-14.000000	-15.000000
-15.000000	-15.000000
-15.000000	-14.000000
-14.000000	-14.000000
-13.388985	-13.000000
-12.388985	-12.000000
-11.388985	-10.000000
-9.388985	-8.000000
-7.388985	-6.000000
-5.388985	-4.000000
-3.388985	-1.000000
-0.388985	0.000000
0.611015	2.000000
2.611015	5.000000
5.611015	7.000000
7.611015	9.000000
9.611015	10.000000
10.611015	12.000000
12.611015	13.000000
13.611015	14.000000
14.000000	15.000000
15.000000	15.000000
15.000000	14.000000
14.000000	14.000000
13.388985	13.000000
12.388985	12.000000
11.388985	10.000000
9.388985	8.000000
7.388985	6.000000
5.388985	4.000000
3.388985	1.000000
0.388985	0.000000
-0.611015	-2.000000
-2.611015	-5.000000
-5.611015	-7.000000
-7.611015	-9.000000
-9.611015	-10.000000
-10.611015	-12.000000
-12.611015	-13.000000
-13.611015	-14.000000
-14.000000	-15.000000
-15.000000	-15.000000
-15.000000	-14.000000
-14.000000	-14.000000
-13.388985	-13.000000
