signal de sortie filtré	signal d'origine
0.000000	-1.000000
-2.222031	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.611015	-12.000000
-12.000000	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.611015	-15.000000
-15.000000	-15.000000
-14.388985	-14.000000
-14.000000	-13.000000
-13.000000	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-3.777969	-2.000000
-1.388985	0.000000
-0.000000	1.000000
2.222031	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.611015	12.000000
12.000000	13.000000
13.000000	14.000000
14.000000	14.000000
14.611015	15.000000
15.000000	15.000000
14.388985	14.000000
14.000000	13.000000
13.000000	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
3.777969	2.000000
1.388985	0.000000
0.000000	-1.000000
-2.222031	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.611015	-12.000000
-12.000000	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.611015	-15.000000
-15.000000	-15.000000
-14.388985	-14.000000
-14.000000	-13.000000
-13.000000	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-3.777969	-2.000000
-1.388985	0.000000
-0.000000	1.000000
2.222031	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.611015	12.000000
12.000000	13.000000
13.000000	14.000000
14.000000	14.000000
14.611015	15.000000
15.000000	15.000000
14.388985	14.000000
14.000000	13.000000
13.000000	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
3.777969	2.000000
1.388985	0.000000
0.000000	-1.000000
-2.222031	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.611015	-12.000000
-12.000000	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.611015	-15.000000
-15.000000	-15.000000
-14.388985	-14.000000
-14.000000	-13.000000
-13.000000	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-3.777969	-2.000000
-1.388985	0.000000
-0.000000	1.000000
2.222031	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.611015	12.000000
12.000000	13.000000
13.000000	14.000000
14.000000	14.000000
14.611015	15.000000
15.000000	15.000000
14.388985	14.000000
14.000000	13.000000
13.000000	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
3.777969	2.000000
1.388985	0.000000
0.000000	-1.000000
-2.222031	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.611015	-12.000000
-12.000000	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.611015	-15.000000
-15.000000	-15.000000
-14.388985	-14.000000
-14.000000	-13.000000
-13.000000	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-3.777969	-2.000000
-1.388985	0.000000
-0.000000	1.000000
2.222031	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.611015	12.000000
12.000000	13.000000
13.000000	14.000000
14.000000	14.000000
14.611015	15.000000
15.000000	15.000000
14.388985	14.000000
14.000000	13.000000
13.000000	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
3.777969	2.000000
1.388985	0.000000
0.000000	-1.000000
-2.222031	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.611015	-12.000000
-12.000000	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.611015	-15.000000
-15.000000	-15.000000
-14.388985	-14.000000
-14.000000	-13.000000
-13.000000	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-3.777969	-2.000000
-1.388985	0.000000
-0.000000	1.000000
2.222031	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.611015	12.000000
12.000000	13.000000
13.000000	14.000000
14.000000	14.000000
14.611015	15.000000
15.000000	15.000000
14.388985	14.000000
14.000000	13.000000
13.000000	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
3.777969	2.000000
1.388985	0.000000
0.000000	-1.000000
-2.222031	-4.000000
-4.611015	-6.000000
-6.611015	-8.000000
-8.611015	-10.000000
-10.611015	-12.000000
-12.000000	-13.000000
-13.000000	-14.000000
-14.000000	-14.000000
-14.611015	-15.000000
-15.000000	-15.000000
-14.388985	-14.000000
-14.000000	-13.000000
-13.000000	-12.000000
-11.388985	-10.000000
-10.000000	-9.000000
-8.388985	-7.000000
-6.388985	-5.000000
-3.777969	-2.000000
-1.388985	0.000000
-0.000000	1.000000
2.222031	4.000000
4.611015	6.000000
6.611015	8.000000
8.611015	10.000000
10.611015	12.000000
12.000000	13.000000
13.000000	14.000000
14.000000	14.000000
14.611015	15.000000
15.000000	15.000000
14.388985	14.000000
14.000000	13.000000
13.000000	12.000000
11.388985	10.000000
10.000000	9.000000
8.388985	7.000000
6.388985	5.000000
3.777969	2.000000
1.388985	0.000000
