signal de sortie filtré	signal d'origine
-0.000000	12372.000000
14230.098045	16744.000000
14912.175620	14890.000000
16518.967244	14890.000000
14190.998302	16744.000000
15930.127393	12372.000000
13658.798581	14882.000000
12489.874434	11211.000000
12303.495661	9485.000000
8287.409678	9746.000000
8483.642038	3953.000000
4852.414772	5249.000000
2539.757404	602.000000
1456.199628	-1838.000000
-3190.177236	-2013.000000
-3342.569663	-7953.000000
-7030.977655	-6510.000000
-9107.426764	-10721.000000
-9669.442376	-12447.000000
-13519.943166	-11645.000000
-12620.791706	-16372.000000
-15030.210027	-13508.000000
-15630.667744	-16126.000000
-14555.690241	-16126.000000
-16649.029243	-13508.000000
-13916.158334	-16372.000000
-14459.521578	-11645.000000
-13207.977573	-12447.000000
-10340.829674	-10721.000000
-10745.440619	-6510.000000
-6469.672979	-7953.000000
-5653.137770	-2013.000000
-3258.249529	-1838.000000
507.077375	602.000000
732.146295	5249.000000
5356.538723	3953.000000
6230.254658	9746.000000
8388.934640	9484.000000
11632.330394	11211.000000
11061.912225	14882.000000
14635.149750	12372.000000
14230.098045	16744.000000
14912.175620	14890.000000
16518.967244	14890.000000
14190.998302	16744.000000
15930.127393	12372.000000
13658.798581	14882.000000
12489.874434	11211.000000
12303.495661	9484.000000
8287.020694	9746.000000
8483.642038	3953.000000
4852.414772	5249.000000
2539.757404	602.000000
1455.588612	-1838.000000
-3190.177236	-2013.000000
-3342.569663	-7953.000000
-7030.977655	-6510.000000
-9107.426764	-10721.000000
-9669.442376	-12447.000000
-13519.943166	-11645.000000
-12620.791706	-16372.000000
-15030.210027	-13508.000000
-15630.667744	-16126.000000
-14555.690241	-16126.000000
-16649.029243	-13508.000000
-13916.158334	-16372.000000
-14459.521578	-11645.000000
-13207.977573	-12447.000000
-10340.218658	-10721.000000
-10745.440619	-6510.000000
-6469.672979	-7953.000000
-5653.137770	-2013.000000
-3258.249529	-1838.000000
507.077375	602.000000
732.146295	5249.000000
5356.538723	3953.000000
6230.254658	9746.000000
8388.934640	9485.000000
11632.108363	11211.000000
11061.912225	14882.000000
14635.149750	12372.000000
14230.098045	16744.000000
14912.175620	14890.000000
16518.967244	14890.000000
14190.998302	16744.000000
15930.127393	12372.000000
13658.798581	14881.000000
12489.485449	11211.000000
12303.495661	9484.000000
8287.020694	9746.000000
8483.642038	3953.000000
4852.414772	5249.000000
2539.757404	602.000000
1456.199628	-1838.000000
-3190.177236	-2013.000000
-3342.569663	-7953.000000
-7030.977655	-6510.000000
-9107.426764	-10721.000000
-9669.442376	-12447.000000
-13519.943166	-11645.000000
-12620.791706	-16372.000000
-15030.210027	-13508.000000
-15630.667744	-16126.000000
-14555.690241	-16126.000000
-16649.029243	-13508.000000
-13916.158334	-16372.000000
-14459.521578	-11645.000000
-13207.977573	-12447.000000
-10340.829674	-10721.000000
-10745.440619	-6510.000000
-6469.672979	-7953.000000
-5653.137770	-2013.000000
-3258.249529	-1838.000000
507.077375	602.000000
732.146295	5249.000000
5356.538723	3953.000000
6230.254658	9746.000000
8388.934640	9485.000000
11632.719378	11211.000000
11061.912225	14881.000000
14634.760765	12372.000000
14230.098045	16744.000000
14912.175620	14890.000000
16518.967244	14890.000000
14190.998302	16744.000000
15930.127393	12372.000000
13658.798581	14882.000000
12489.874434	11211.000000
12303.495661	9484.000000
8287.020694	9746.000000
8483.642038	3953.000000
4852.414772	5249.000000
2539.757404	602.000000
1455.588612	-1838.000000
-3190.177236	-2013.000000
-3342.569663	-7953.000000
-7030.977655	-6510.000000
-9107.426764	-10721.000000
-9669.442376	-12447.000000
-13519.943166	-11645.000000
-12620.791706	-16372.000000
-15030.210027	-13508.000000
-15630.667744	-16126.000000
-14555.690241	-16126.000000
-16649.029243	-13508.000000
-13916.158334	-16372.000000
-14459.521578	-11645.000000
-13207.977573	-12447.000000
-10340.829674	-10721.000000
-10745.440619	-6510.000000
-6469.672979	-7953.000000
-5653.137770	-2013.000000
-3258.249529	-1838.000000
507.077375	602.000000
732.146295	5249.000000
5356.538723	3953.000000
6230.254658	9746.000000
8388.934640	9485.000000
11632.719378	11211.000000
11061.912225	14881.000000
14634.760765	12372.000000
14230.098045	16744.000000
14912.175620	14890.000000
16518.967244	14890.000000
14190.998302	16744.000000
15930.127393	12372.000000
13658.798581	14882.000000
12489.874434	11211.000000
12303.495661	9485.000000
8287.409678	9746.000000
8483.642038	3953.000000
4852.414772	5249.000000
2539.757404	602.000000
1456.199628	-1838.000000
-3190.177236	-2013.000000
-3342.569663	-7953.000000
-7030.977655	-6510.000000
-9107.426764	-10721.000000
-9668.831360	-12447.000000
-13519.943166	-11645.000000
-12620.791706	-16372.000000
-15030.210027	-13508.000000
-15630.667744	-16126.000000
-14555.690241	-16126.000000
-16649.029243	-13508.000000
-13916.158334	-16372.000000
-14459.521578	-11645.000000
-13207.977573	-12447.000000
-10340.218658	-10721.000000
-10745.440619	-6510.000000
-6469.672979	-7953.000000
-5653.137770	-2013.000000
-3258.249529	-1838.000000
507.077375	602.000000
732.146295	5249.000000
5356.538723	3953.000000
6230.254658	9746.000000
8388.934640	9485.000000
11632.719378	11211.000000
11061.912225	14882.000000
14635.149750	12372.000000
14229.487030	16744.000000
14912.175620	14890.000000
16518.967244	14890.000000
14190.998302	16744.000000
15930.127393	12372.000000
13658.798581	14881.000000
12489.485449	11211.000000
12304.106676	9484.000000
8287.020694	9746.000000
8483.642038	3953.000000
4852.414772	5249.000000
2539.757404	602.000000
1455.588612	-1838.000000
-3190.177236	-2013.000000
-3342.569663	-7953.000000
-7030.977655	-6510.000000
-9107.426764	-10720.000000
-9669.053391	-12447.000000
-13519.943166	-11645.000000
-12620.791706	-16372.000000
-15030.210027	-13508.000000
-15630.667744	-16126.000000
-14555.690241	-16126.000000
-16649.029243	-13508.000000
-13916.769350	-16372.000000
-14459.521578	-11645.000000
-13207.977573	-12447.000000
-10340.218658	-10721.000000
-10745.440619	-6510.000000
-6469.672979	-7953.000000
-5653.137770	-2013.000000
-3258.249529	-1838.000000
507.077375	602.000000
732.146295	5249.000000
5356.538723	3953.000000
6230.254658	9746.000000
8388.934640	9485.000000
11632.108363	11210.000000
11061.523241	14882.000000
