signal de sortie filtré	signal d'origine
0.000000	-11341.000000
-12669.958648	-10499.000000
-8948.853752	-10149.000000
-9311.297790	-4740.000000
-5377.289136	-6245.000000
-3587.693719	-1030.000000
-2093.166918	616.000000
2349.450889	1496.000000
2430.853670	7149.000000
6519.043050	5595.000000
8170.430208	10470.000000
9236.970781	11493.000000
12973.490485	11482.000000
12086.905316	15997.000000
14968.049948	13088.000000
15205.779620	16423.000000
14684.660987	15760.000000
16699.741793	13957.000000
13999.160067	16620.000000
15020.361499	11844.000000
13395.979295	13341.000000
11057.635187	10917.000000
11344.710829	7472.000000
7047.955264	8653.000000
6643.981133	2591.000000
3801.421647	3030.000000
480.843458	-198.000000
45.795173	-4173.000000
-4694.196196	-3236.000000
-5252.351052	-9249.000000
-7956.702280	-8470.000000
-10849.905257	-11075.000000
-10578.244423	-14158.000000
-14349.858858	-12084.000000
-13701.968965	-16742.000000
-14992.051693	-14423.000000
-16297.595463	-15342.000000
-14304.495731	-16634.000000
-16262.502594	-12707.000000
-13753.669501	-15498.000000
-13182.251367	-11341.000000
-12669.958648	-10499.000000
-8948.853752	-10149.000000
-9311.297790	-4740.000000
-5377.900151	-6245.000000
-3587.693719	-1030.000000
-2093.166918	616.000000
2349.450889	1496.000000
2430.853670	7149.000000
6519.043050	5595.000000
8170.430208	10470.000000
9236.970781	11493.000000
12973.490485	11482.000000
12086.905316	15997.000000
14968.660963	13088.000000
15205.779620	16423.000000
14684.660987	15760.000000
16699.741793	13957.000000
13999.160067	16620.000000
15020.361499	11844.000000
13395.979295	13341.000000
11057.635187	10917.000000
11344.710829	7472.000000
7047.955264	8653.000000
6643.981133	2591.000000
3801.421647	3030.000000
480.843458	-198.000000
45.184157	-4173.000000
-4694.196196	-3236.000000
-5252.351052	-9249.000000
-7956.702280	-8470.000000
-10849.905257	-11075.000000
-10578.244423	-14158.000000
-14349.858858	-12084.000000
-13701.968965	-16742.000000
-14992.051693	-14423.000000
-16297.595463	-15341.000000
-14304.106747	-16634.000000
-16262.502594	-12707.000000
-13753.669501	-15498.000000
-13182.251367	-11341.000000
-12669.958648	-10499.000000
-8948.853752	-10149.000000
-9310.686775	-4740.000000
-5377.289136	-6245.000000
-3587.693719	-1030.000000
-2093.166918	616.000000
2349.450889	1496.000000
2430.853670	7149.000000
6519.043050	5595.000000
8171.041223	10470.000000
9236.970781	11493.000000
12973.490485	11482.000000
12086.905316	15997.000000
14968.660963	13088.000000
15205.779620	16423.000000
14684.660987	15760.000000
16699.741793	13957.000000
13999.160067	16620.000000
15020.361499	11844.000000
13395.979295	13341.000000
11057.635187	10917.000000
11344.099814	7472.000000
7047.955264	8653.000000
6643.981133	2591.000000
3801.421647	3030.000000
480.843458	-198.000000
45.184157	-4173.000000
-4694.196196	-3236.000000
-5252.351052	-9249.000000
-7956.702280	-8470.000000
-10849.905257	-11075.000000
-10578.244423	-14158.000000
-14349.858858	-12084.000000
-13701.968965	-16742.000000
-14992.051693	-14423.000000
-16297.595463	-15341.000000
-14304.106747	-16634.000000
-16262.502594	-12707.000000
-13753.669501	-15498.000000
-13182.251367	-11341.000000
-12669.958648	-10499.000000
-8948.853752	-10149.000000
-9311.297790	-4740.000000
-5377.289136	-6245.000000
-3587.082704	-1030.000000
-2093.166918	616.000000
2349.450889	1496.000000
2430.853670	7149.000000
6519.043050	5595.000000
8170.430208	10470.000000
9236.970781	11493.000000
12973.490485	11482.000000
12086.905316	15997.000000
14968.049948	13088.000000
15205.779620	16423.000000
14684.660987	15760.000000
16699.741793	13957.000000
13999.160067	16620.000000
15020.361499	11844.000000
13395.979295	13341.000000
11057.635187	10917.000000
11344.099814	7472.000000
7047.955264	8653.000000
6643.981133	2591.000000
3801.421647	3030.000000
480.843458	-198.000000
45.184157	-4173.000000
-4694.196196	-3236.000000
-5252.351052	-9249.000000
-7956.702280	-8470.000000
-10849.905257	-11075.000000
-10578.244423	-14158.000000
-14349.858858	-12084.000000
-13701.968965	-16742.000000
-14992.051693	-14423.000000
-16297.595463	-15341.000000
-14304.106747	-16634.000000
-16262.502594	-12707.000000
-13753.669501	-15498.000000
-13182.251367	-11341.000000
-12669.958648	-10499.000000
-8948.853752	-10149.000000
-9311.297790	-4740.000000
-5377.900151	-6245.000000
-3587.693719	-1030.000000
-2093.166918	616.000000
2349.450889	1496.000000
2430.853670	7149.000000
6519.043050	5595.000000
8170.430208	10470.000000
9236.970781	11493.000000
12973.490485	11482.000000
12086.905316	15997.000000
14968.049948	13088.000000
15205.779620	16423.000000
14684.660987	15760.000000
16699.741793	13957.000000
13999.160067	16620.000000
15020.361499	11844.000000
13395.979295	13341.000000
11057.635187	10917.000000
11344.710829	7472.000000
7047.955264	8653.000000
6643.981133	2591.000000
3801.421647	3030.000000
480.843458	-198.000000
45.795173	-4173.000000
-4694.196196	-3236.000000
-5252.351052	-9249.000000
-7956.702280	-8470.000000
-10849.905257	-11075.000000
-10578.244423	-14158.000000
-14349.858858	-12084.000000
-13701.968965	-16742.000000
-14992.051693	-14423.000000
-16297.595463	-15341.000000
-14304.106747	-16634.000000
-16262.502594	-12707.000000
-13753.669501	-15498.000000
-13182.251367	-11341.000000
-12669.958648	-10499.000000
-8948.853752	-10149.000000
-9311.297790	-4740.000000
-5377.900151	-6245.000000
-3587.693719	-1030.000000
-2093.166918	616.000000
2349.450889	1496.000000
2430.853670	7149.000000
6519.043050	5595.000000
8170.430208	10470.000000
9236.970781	11493.000000
12973.490485	11482.000000
12086.905316	15997.000000
14968.660963	13088.000000
15205.779620	16423.000000
14684.660987	15760.000000
16699.741793	13957.000000
