signal de sortie filtré	signal d'origine
0.000000	-1030.000000
-1559.139397	-6245.000000
-5962.710853	-4741.000000
-7207.669454	-10149.000000
-8812.709166	-10499.000000
-12342.433674	-11341.000000
-11565.242678	-15498.000000
-14838.714307	-12707.000000
-14734.960346	-16634.000000
-14806.452728	-15342.000000
-16655.072246	-14422.000000
-14089.607584	-16742.000000
-15513.247889	-12084.000000
-13543.104943	-14158.000000
-11777.483728	-11075.000000
-11863.209957	-8469.000000
-7653.294347	-9249.000000
-7590.704013	-3236.000000
-4329.717692	-4172.000000
-1500.029348	-198.000000
-774.798604	3031.000000
3972.574840	2591.000000
4286.567930	8653.000000
7507.345993	7473.000000
10005.048109	10917.000000
10114.736687	13342.000000
13978.678120	11844.000000
13162.571385	16620.000000
15035.025870	13958.000000
15998.791671	15760.000000
14426.764244	16423.000000
16503.043027	13088.000000
13837.104967	15997.000000
13843.170467	11482.000000
12969.211655	11493.000000
9634.901955	10470.000000
10066.729790	5595.000000
5914.561091	7149.000000
4629.783216	1496.000000
2691.757275	616.000000
-1452.898383	-1030.000000
-1559.139397	-6245.000000
-5962.710853	-4740.000000
-7206.669454	-10149.000000
-8812.709166	-10499.000000
-12342.433674	-11341.000000
-11565.242678	-15498.000000
-14839.325323	-12707.000000
-14734.960346	-16633.000000
-14806.063744	-15341.000000
-16654.683261	-14423.000000
-14089.996569	-16743.000000
-15513.636874	-12084.000000
-13543.104943	-14158.000000
-11777.483728	-11075.000000
-11863.209957	-8469.000000
-7653.294347	-9250.000000
-7591.704013	-3236.000000
-4329.717692	-4172.000000
-1500.029348	-198.000000
-774.187589	3030.000000
3972.185855	2591.000000
4286.567930	8653.000000
7506.734978	7473.000000
10005.048109	10916.000000
10114.347703	13341.000000
13978.289136	11843.000000
13162.182400	16620.000000
15034.414854	13957.000000
15998.402686	15759.000000
14426.375259	16423.000000
16503.043027	13088.000000
13837.104967	15997.000000
13842.559452	11482.000000
12969.211655	11492.000000
9634.512970	10470.000000
10066.729790	5595.000000
5914.561091	7149.000000
4629.172200	1496.000000
2691.757275	615.000000
-1453.287367	-1030.000000
-1559.139397	-6245.000000
-5962.710853	-4740.000000
-7207.280469	-10149.000000
-8812.709166	-10499.000000
-12342.433674	-11341.000000
-11565.242678	-15498.000000
-14839.325323	-12707.000000
-14734.960346	-16634.000000
-14807.063744	-15342.000000
-16655.072246	-14423.000000
-14089.996569	-16742.000000
-15513.858905	-12084.000000
-13543.104943	-14158.000000
-11777.483728	-11075.000000
-11863.209957	-8470.000000
-7653.683332	-9249.000000
-7591.315029	-3236.000000
-4329.717692	-4173.000000
-1501.029348	-198.000000
-774.798604	3030.000000
3972.185855	2591.000000
4285.956915	8653.000000
7506.734978	7472.000000
10004.659125	10917.000000
10114.736687	13341.000000
13978.289136	11844.000000
13162.571385	16620.000000
15035.025870	13957.000000
15998.402686	15759.000000
14426.375259	16423.000000
16503.043027	13088.000000
13836.493951	15997.000000
13842.559452	11482.000000
12969.211655	11492.000000
9634.512970	10470.000000
10066.729790	5595.000000
5914.561091	7148.000000
4629.394231	1496.000000
2691.757275	615.000000
-1453.287367	-1030.000000
-1559.139397	-6245.000000
-5963.321868	-4741.000000
-7207.669454	-10149.000000
-8812.709166	-10499.000000
-12342.433674	-11341.000000
-11565.242678	-15498.000000
-14838.714307	-12707.000000
-14734.960346	-16634.000000
-14806.452728	-15342.000000
-16655.072246	-14422.000000
-14089.607584	-16742.000000
-15513.247889	-12084.000000
-13543.104943	-14158.000000
-11777.483728	-11075.000000
-11863.209957	-8469.000000
-7653.294347	-9249.000000
